id,user,created_at,text,fav,RT
1446698947209093123,tyurenpoutoukun,Sat Oct 09 04:48:02 +0000 2021,スタバの新作フラペチーノ ,1,0
1446698928183730178,saori_mofumofu,Sat Oct 09 04:47:57 +0000 2021,アイストッピング珍しい😆✨誕生日に貰ったチケットで贅沢スタバしてきたよ！和三盆ほうじ茶フラペチーノ❣️ ,0,0
1446698926594138114,tomoyuki_desuyo,Sat Oct 09 04:47:57 +0000 2021,スタバなう ,2,1
1446698925277077509,bushizawa0153,Sat Oct 09 04:47:56 +0000 2021,相手いないからスタバで暴れます。,0,0
1446698915407884288,TENKAAM,Sat Oct 09 04:47:54 +0000 2021,コイツいっつもスタバでラーメン食ってんな,1,0
1446698885636759558,uno__sho,Sat Oct 09 04:47:47 +0000 2021,最近学生の頃並にまたスタバ回数増えたから、毎週のようにポイントたまる ,0,0
1446698868469424128,GrimyWindow_095,Sat Oct 09 04:47:43 +0000 2021,海浜幕張のスタバに行きたいのに、辿り着かなくてずっと改札まわりウロウロしてる怪しい人になってる。,1,0
1446698867857129479,ind_mochi,Sat Oct 09 04:47:43 +0000 2021,スタバとかそゆの好きじゃないんだが、マジでゴディバのショコリキサーはうまい(2回目)はまった…,0,0
1446698855634857988,love_nkun_rin,Sat Oct 09 04:47:40 +0000 2021, おかえり！私さっきスタバ行けなくてサンマルクにしたwwww,0,0
1446698835535822851,enigma_0001,Sat Oct 09 04:47:35 +0000 2021, 無事にスタバで顔覚えられましたw,0,0
1446698818775306242,hoppetapunipeta,Sat Oct 09 04:47:31 +0000 2021, スタバ行ったことないんよね〜,0,0
1446698811091415047,y2014murata,Sat Oct 09 04:47:29 +0000 2021,同じ施設内にスタバとタリーズあるけど、スタバの方がお客さん多いのは、スタッフの出来も一つの原因。違い過ぎる。。。,0,0
1446698798676201477,oyaji_0809,Sat Oct 09 04:47:26 +0000 2021,久しぶりに愛知でゆっくり出来るので、スタバNow！・うどんW・のしいか（イカ天）・もち・一味少々 ,2,0
1446698782242983937,supremeruler777,Sat Oct 09 04:47:22 +0000 2021,インスタがなくてもスタバがなくてもファンザがあればそれでいい,0,0
1446698777276862468,hiyokogumipiyo3,Sat Oct 09 04:47:21 +0000 2021, まだホットしか飲んでないけどうまかったよ！アイスも近々行く〜毎日スタバ通るから…デブ活,0,0
1446698772331778050,HOFojisan,Sat Oct 09 04:47:20 +0000 2021,スタバなう ,3,1
1446698742468386816,a__monmon_,Sat Oct 09 04:47:13 +0000 2021, スタバの垂直の道！こうそくどうろにそっていきますよ,0,0
1446698741440778247,IamMinaMyoi,Sat Oct 09 04:47:12 +0000 2021,スタバからのタリーズ,0,0
1446698731911270406,ressentiment180,Sat Oct 09 04:47:10 +0000 2021,映えぬスタバ ,4,0
1446698668476694532,Eri_Happiness,Sat Oct 09 04:46:55 +0000 2021,お母さんと買い物来てて、「カルディ行こか」言われたから「行こ行こ！」言うて歩いてたら、お母さんが向かったのカルディの向かいにあるスタバやった 笑,0,0
1446698640811036676,Ikal_sc,Sat Oct 09 04:46:48 +0000 2021,お花見ティーセットでお茶らしきもの飲んでたし、星の子って飲食出来るのかな……。コーヒーとか飲ませて反応見たいし、スタバのフラペチーノ的なのも飲んで見てほしい……。,0,0
1446698639150108672,optaso,Sat Oct 09 04:46:48 +0000 2021,カバンに可愛いの忍ばせて出かけてみる。スタバ行く❗️しかし、取り出して写真とる勇気があるのだろうか。いや、ない(地元だしな)(きっと、車内で撮影するやつ) ,0,0
1446698624285429761,uguisu_bungou,Sat Oct 09 04:46:45 +0000 2021,古書店街歩いてたらスタバ代なくなる古本屋少なくてよかった,1,0
1446698606774272004,Toa0036,Sat Oct 09 04:46:40 +0000 2021,スタバ☺️🎶 ,1,0
1446698602433114113,K_Yui_06,Sat Oct 09 04:46:39 +0000 2021,スタバ中〜🤤 ,0,0
